                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.55509,                0.36058,                0.85165,                0.97194,                0.96326,                0.97846,                0.88045,                0.49443,                0.27226,                 0.8018,              0.0055252,              0.0055252,              0.0055252
                    115,                0.56025,                  0.362,                0.85332,                0.97174,                0.96334,                0.97851,                0.88034,                0.49438,                0.27183,                0.80175,              0.0054856,              0.0054856,              0.0054856
                    116,                0.55262,                0.35675,                0.85315,                0.97175,                0.96338,                0.97835,                0.88097,                0.49377,                0.27239,                0.80155,               0.005446,               0.005446,               0.005446
                    117,                0.55661,                0.36203,                0.85255,                0.97147,                0.96334,                0.97794,                0.88122,                0.49379,                0.27178,                0.80159,              0.0054064,              0.0054064,              0.0054064
                    118,                0.55108,                0.35817,                0.85243,                0.97121,                0.96344,                0.97771,                0.88131,                0.49383,                0.27142,                0.80163,              0.0053668,              0.0053668,              0.0053668
                    119,                0.54774,                  0.354,                0.84886,                0.97097,                 0.9637,                0.97842,                0.88145,                0.49373,                0.27161,                 0.8016,              0.0053272,              0.0053272,              0.0053272
                    120,                0.55098,                0.35599,                0.85115,                0.97119,                0.96383,                0.97833,                0.88088,                0.49332,                0.27093,                0.80153,              0.0052876,              0.0052876,              0.0052876
                    121,                0.55322,                0.35724,                0.85256,                 0.9707,                0.96437,                 0.9782,                0.88078,                0.49299,                0.27064,                0.80139,               0.005248,               0.005248,               0.005248
                    122,                0.54905,                0.35374,                0.84914,                0.97081,                  0.965,                0.97814,                0.88091,                0.49311,                0.26998,                0.80142,              0.0052084,              0.0052084,              0.0052084
                    123,                0.54823,                0.35216,                0.85222,                 0.9718,                0.96593,                0.97885,                0.88093,                0.49286,                0.26907,                0.80164,              0.0051688,              0.0051688,              0.0051688
                    124,                0.54498,                0.35171,                0.85021,                0.97188,                0.96602,                 0.9789,                0.88117,                0.49285,                0.26911,                0.80155,              0.0051292,              0.0051292,              0.0051292
                    125,                0.54924,                0.35599,                0.85119,                0.97048,                0.96551,                0.97912,                0.88141,                0.49265,                0.26889,                0.80159,              0.0050896,              0.0050896,              0.0050896
                    126,                0.54759,                0.35637,                0.84882,                0.97108,                0.96516,                0.97919,                0.88157,                0.49245,                 0.2695,                 0.8015,                0.00505,                0.00505,                0.00505
                    127,                0.54504,                0.34968,                0.84804,                 0.9714,                0.96497,                0.97926,                0.88228,                0.49253,                0.26998,                0.80147,              0.0050104,              0.0050104,              0.0050104
                    128,                0.54463,                0.35397,                0.85019,                0.97142,                0.96497,                0.97935,                0.88227,                0.49296,                0.27012,                0.80148,              0.0049708,              0.0049708,              0.0049708
                    129,                0.54451,                0.35275,                0.84884,                0.97144,                0.96485,                0.97953,                0.88259,                 0.4929,                 0.2698,                0.80154,              0.0049312,              0.0049312,              0.0049312
                    130,                0.54227,                0.34885,                0.84737,                0.97144,                0.96473,                0.97945,                0.88234,                0.49266,                0.26983,                0.80175,              0.0048916,              0.0048916,              0.0048916
                    131,                0.54461,                 0.3464,                0.85214,                 0.9713,                0.96474,                0.97946,                0.88244,                 0.4927,                0.26947,                0.80167,               0.004852,               0.004852,               0.004852
                    132,                0.54209,                0.34789,                0.84956,                0.97134,                0.96484,                0.97949,                0.88191,                0.49202,                0.26907,                0.80164,              0.0048124,              0.0048124,              0.0048124
                    133,                0.54298,                0.35157,                0.85006,                 0.9713,                0.96483,                0.97936,                0.88238,                 0.4914,                0.26904,                0.80155,              0.0047728,              0.0047728,              0.0047728
                    134,                0.54716,                0.35355,                0.85233,                0.97124,                0.96481,                0.97929,                0.88252,                0.49181,                0.26889,                0.80164,              0.0047332,              0.0047332,              0.0047332
